Time in Microseconds,C
54778,9537.81
35756,60954.6
50830,25378.8
29919,99305.6
35177,65199.4
31910,83724.9
67096,3284.8
33881,93381.6
29683,90690.3
39893,46381.7
29879,89405.8
33908,84322.7
39838,50179.2
42419,51070.2
58842,12789
57815,15864.3
40888,27967.9
40890,54430.2
55285,15502.3
33898,83057
40166,53681.1
40860,42386.9
53231,16793
47015,38921.5
27925,93867.1
28407,73081.2
38895,45093.2
27884,84365.1
49234,34318.6
50862,22977.3
29890,68018.6
75798,6734.9
39859,45261.2
40080,49413
55851,18448.5
45820,38544.5
41828,59813
36899,70994.5
31213,83556.4
63505,5601.15
49848,32177.4
32688,92652.8
50863,26186.3
44335,52669.5
36298,83237.9
34904,64240.8
35950,61727
35833,74546.8
64825,8312.95
46837,55135.9
50863,21869.2
53855,15836.1
35903,63547.3
44353,45751
31101,95124
45875,67709.5
42871,51493
31027,89033.7
32911,94132.2
35903,70881.8
38857,56610.1
55498,32957.1
36901,61086.6
38894,70912.5
37972,74913.2
50956,35148.9
38312,79250.1
60837,20235.5
60837,23940
49251,41378.1
50473,40436.2
59374,23738.6
63828,9695.1
47330,39410.5
41112,50274.7
35869,80135.9
40890,47670.8
36667,98289.1
68816,6915.8
32880,68338.2
71479,684.127
33915,70763.1
32207,80662.2
42856,45700.7
32911,68620.3
53854,16953.6
27920,92569.4
31343,89642.1
60794,13359.4
32337,84761.8
70776,4867.44
27403,97436
41519,47976.5
69812,9676.38
34828,70976.4
36900,55560.7
36712,60440
36898,58923.2
35866,71611.1
34151,77402.1
46913,54448.1
69287,13564
56570,35010.4
54819,25344.6
27925,91634.5
41055,45358.7
30885,73296.4
36260,51449.6
55851,26677.4
53873,21278.1
55849,29757.1
72314,6342.52
55324,24423.6
53855,31773.9
25931,94412.5
68068,5857.93
39893,66314.1
29833,79386.2
47055,49185.1
38894,60391.5
70289,8099.95
47872,76390.5
25899,93465.4
53853,26274
44879,33593.1
40889,44029.7
45968,35465.8
41856,63574.1
35903,95230.8
64785,7088.14
59405,21246.2
36901,92247
42098,86131.8
58809,28914.6
37886,72454
28922,98464.3
52040,34234
55877,29823.3
30888,96961.7
70778,8184.25
37896,53747.5
68815,10858.9
49835,48344.3
40544,47307.6
44880,39342.6
34906,88398.8
51861,24544.3
52548,22232.6
46855,33436.5
42965,56349.9
36083,85225.8
41887,41475.2
58024,15289.5
42884,66464.6
59080,36764.8
72298,15987.2
48834,51688.4
74359,14789.5
59680,25155.3
33908,96363.9
55852,37516.4
36335,97766.8
63835,51958.9
65075,10888.7
74864,6064.9
47872,27144.8
25900,96073.2
43961,29316.9
43479,30493.7
87327,1344.52
44669,42691
48834,26202
35479,53373.2
37597,95763.9
42885,49259.3
51862,30494.3
48836,31711.4
40890,65728.7
38920,78052.2
37898,75176.4
55750,24686
54855,23714.5
49864,72361.5
34843,90457.4
33558,71043
85740,1431.26
34906,60880.7
34527,65817.8
46553,29432.8
49866,23369.5
33908,92364.5
33983,67226.1
34477,63049
38896,50503.1
90756,534.293
36874,55735.4
72374,9276.36
46247,43933.7
33124,64743.3
81517,6292.28
34906,86085.5
73351,4045.04
32098,86902.3
33908,89478.9
44845,43765.8
47106,40802.2
29310,72708.5
59839,25654
42884,50458.6
60687,21001.2
57842,27167.2
30117,80134.7
43207,55422.1
89735,3820.78
73169,11268.3
32907,99271.4
33908,59949.4
53370,25439
33063,79230.1
32911,73513
33908,73845
57800,20079.5
31914,86094.1
51861,43040.1
52857,41882.5
87724,12282.9
42854,70250.7
41452,67039.2
55851,32728
40285,86743.7
66669,22119.4
56845,29821.1
41848,59914.6
41566,51727.3
44636,34430.2
60837,19080.8
65027,17048.1
41886,55880.3
36869,66157.6
40890,59226.5
84771,4830.9
36051,94988.6
34874,92028.7
68816,25903.6
44949,50258.7
31913,86518.8
58834,40148.1
81775,13075.9
40890,62778.5
29619,81452.8
47840,34300.1
35725,70828.3
81780,10589.1
37931,90512
52856,39883.4
50467,33850.4
92530,2372.54
37058,77932.9
91755,4257.21
37897,87996.2
36767,81268.4
99732,558.364
51861,43540
34906,52090.8
28922,75653.5
30618,88062.8
44880,35706.6
34061,64607.5
80374,5372.89
64825,12072.4
28921,79732
82779,6581.07
36741,51433.3
47871,52011.3
58841,37589.6
52114,47343.8
35648,96365.9
73763,16264.9
42122,64699.7
41861,70704.6
68813,18975.3
38861,74154.4
58437,34893.9
35726,90325.5
36899,93523.8
89728,4007.49
57318,28415
34838,91831.3
36874,92642
64791,20611
35871,88573.2
46842,38536
41488,73357.9
91755,4996.31
28922,83818.6
62831,29598
44880,61902
37864,66267
73769,16273
56843,56935.2
86890,5656.46
36087,67087.5
50862,39727.1
73802,12437.4
70501,10599.4
37570,92363.3
48349,42160.6
67260,16630
46846,41999.3
41432,75410.8
37433,92655.4
47645,44760.7
64825,18822.4
38898,63040.4
36899,75716.4
51860,32460.5
68327,20123.5
48869,41577.9
68284,18939.2
45956,64789.1
50981,26750.3
36619,75672.8
77791,11698
43882,56302.6
67820,17041
90220,5313.21
41887,76812.3
50187,42270.8
47873,46874
42885,53113.7
44879,71536.3
49434,43714.4
42888,80357.1
87732,8662.69
31626,63900.9
28402,84114.5
88729,7466.53
32911,58438.4
29919,95950
29918,82961.2
31914,59529
26928,81459.5
33595,52378.9
32885,76418.9
37898,52337.2
67686,18470.3
56847,25862.7
39015,36642.9
39114,46902.3
26889,94379
71779,14767.8
25895,95348
35532,68391.5
35903,89240.8
55849,23071.9
37899,81972.7
57842,34451.6
58511,31244.6
61611,25277.4
65822,17214.9
39891,73110
59265,21992.7
65792,18020.6
48835,42703.6
36901,76980.8
57746,29954.9
42886,60728.7
51859,41730.9
109675,1187.24
57843,31591.9
33386,78866.1
49866,42150.9
33878,93728.2
100729,3480.08
78789,12809.3
85736,7068.15
31914,94151.7
38477,71240.8
46802,51001
49834,47654.4
37569,74066.9
78788,11602.2
52838,64977.2
34875,96878.1
31914,96492.7
85768,6350.99
41101,59464.4
103721,1148.68
38394,54016.3
41300,52091.2
46046,40160.1
40889,72576
33907,88274.8
46401,78359.5
57948,24454.2
57842,22907.2
49341,50013.4
42835,81352.6
99048,2769.24
50863,66717.9
52859,58881.1
84778,15526.7
82273,12692
85913,7376.97
43711,71033.6
50185,48605.6
37868,79030.8
40154,82215.1
45606,66927.4
44347,66605.4
48392,42473.8
101543,3683.33
95743,3385.39
34208,99358.2
40888,75467.3
40888,64290.8
60547,23838.1
48792,51545
40305,79177.3
40425,73111
47841,54135.6
70810,29484.8
46872,47855.9
57427,37637.8
44847,55369
42852,69872.2
45875,55624.5
46605,51552.8
44991,57856.1
40890,76257.8
47876,41128.9
57232,37146.3
35780,93469.1
75782,17666.2
74796,15182.6
44879,55308.9
32879,85101.5
47841,50157.4
55851,35023.7
50026,50640.4
41887,61880.7
36825,80160.2
42886,94432.6
28921,88474.7
124973,382.627
34905,59648.8
51592,35984.7
63824,17869.6
28921,82293.1
33843,59744.9
29783,78524.7
29888,71428.4
31925,61734
43885,53802.1
43786,55383.1
42869,70074.9
86028,14550.4
66820,27636.2
122519,397.286
72770,19231.4
53855,39352
32910,99156.1
60148,35629.9
28922,67060
