C,Lines,N
4.42204,52,55
1.83834,52,55
0.950857,52,55
8.1111,52,55
0.745575,52,55
3.43338,52,55
2.43698,6,56
0.123555,6,56
7.85018,6,56
7.67844,6,56
1.32273,6,56
9.22733,6,56
9.76969,6,56
9.12221,6,56
6.53137,6,56
5.02543,6,56
7.66516,40,57
2.37175,40,57
7.98081,40,57
4.69413,40,57
1.85218,40,57
8.87809,40,57
2.45603,40,57
2.06478,40,57
1.14134,40,57
9.16676,40,57
9.03495,18,58
3.35533,18,58
5.96281,18,58
6.53357,18,58
0.0836912,18,58
5.2666,18,58
3.87131,18,58
4.18919,18,58
7.57548,18,58
0.981395,18,58
5.25442,18,59
2.57272,18,59
5.40587,18,59
1.9871,18,59
5.38992,18,59
0.981846,18,59
4.11648,18,59
6.67421,18,59
1.11013,18,59
1.36347,18,59
2.41891,14,60
7.15097,14,60
4.03965,14,60
5.46276,14,60
9.5145,14,60
2.34227,14,60
9.20856,14,60
9.44688,14,60
5.37544,14,60
1.57417,14,60
6.20672,40,61
1.03034,40,61
3.9421,40,61
9.15345,40,61
4.50141,40,61
9.49062,40,61
5.39452,40,61
4.97466,40,61
2.0978,40,61
6.67001,40,61
1.72188,18,62
2.99725,18,62
5.05703,18,62
4.72685,18,62
4.68495,18,62
2.74334,18,62
9.67418,18,62
6.07993,18,62
9.68646,18,62
8.2354,18,62
0.0488774,26,63
7.61625,26,63
2.99388,26,63
0.0660647,26,63
5.20713,26,63
5.91189,26,63
4.95786,26,63
6.85597,26,63
9.60505,26,63
5.79956,26,63
2.98244,30,64
1.93792,30,64
3.37762,30,64
5.31323,30,64
9.97934,30,64
2.38582,30,64
1.34227,30,64
0.501708,30,64
0.955787,30,64
2.93107,30,64
1.16216,36,65
1.66797,36,65
8.57876,36,65
9.3663,36,65
2.33767,36,65
3.78231,36,65
7.85707,36,65
6.09158,36,65
3.53163,36,65
5.50844,36,65
0.484981,16,66
7.9397,16,66
6.95382,16,66
1.16442,16,66
4.32412,16,66
9.18382,16,66
9.31954,16,66
6.37561,16,66
3.12323,16,66
9.02344,16,66
9.4744,18,67
4.16022,18,67
7.79423,18,67
9.04552,18,67
7.8202,18,67
6.60471,18,67
7.68449,18,67
2.38389,18,67
7.44113,18,67
8.48757,18,67
2.91278,32,68
6.20504,32,68
7.29031,32,68
6.63704,32,68
3.8045,32,68
7.9272,32,68
0.252112,32,68
1.30955,32,68
8.27939,32,68
9.64578,32,68
4.43985,28,69
2.85398,28,69
8.45838,28,69
2.21399,28,69
7.20319,28,69
2.99188,28,69
6.52609,28,69
5.38874,28,69
9.30537,28,69
0.815759,28,69
6.46267,28,70
4.37654,28,70
2.17304,28,70
8.77073,28,70
3.25345,28,70
2.58942,28,70
0.164841,28,70
2.28809,28,70
7.08129,28,70
0.839731,28,70
8.21008,16,71
6.47428,16,71
6.94673,16,71
7.9379,16,71
6.92042,16,71
4.15244,16,71
2.37815,16,71
5.34222,16,71
4.96454,16,71
2.90005,16,71
9.74588,68,72
9.27195,68,72
8.57671,68,72
6.19148,68,72
4.54319,68,72
5.89807,68,72
8.72741,68,72
9.98908,68,72
9.00801,68,72
6.77287,68,72
6.66068,30,73
9.17268,30,73
3.29878,30,73
2.07951,30,73
9.42022,30,73
9.97507,30,73
3.14197,30,73
1.80686,30,73
2.39971,30,73
1.03986,30,73
9.38767,32,74
8.66337,32,74
3.08513,32,74
1.62321,32,74
7.59777,32,74
4.63752,32,74
1.26884,32,74
9.66885,32,74
8.52606,32,74
7.78806,32,74
0.936775,40,75
5.3835,40,75
8.73015,40,75
1.55955,40,75
4.15198,40,75
6.79428,40,75
5.52206,40,75
1.57986,40,75
8.83019,40,75
4.2815,40,75
9.27076,44,76
3.95097,44,76
6.61237,44,76
7.47312,44,76
5.51914,44,76
6.84492,44,76
8.57294,44,76
4.21537,44,76
5.04147,44,76
7.42252,44,76
5.5289,16,77
1.50719,16,77
8.53563,16,77
1.27362,16,77
2.58354,16,77
5.6061,16,77
7.29183,16,77
5.56287,16,77
6.79086,16,77
8.91253,16,77
7.37756,28,78
5.23143,28,78
4.88058,28,78
8.26161,28,78
0.0527583,28,78
8.95812,28,78
