Time,N
103723,97
93750,97
89718,97
87763,97
82778,97
85770,98
83776,98
78787,98
80053,98
80756,98
81009,98
79787,98
94087,98
79785,98
80785,98
90757,99
88762,99
91754,99
82778,99
88764,99
93430,99
87056,99
92751,99
88765,99
88762,99
80783,100
68815,100
69813,100
71472,100
67781,100
68815,100
72771,100
67817,100
69359,100
70047,100
50835,101
52859,101
51858,101
54592,101
55849,101
64826,101
57845,101
58817,101
77763,101
56849,101
41887,102
38447,102
37862,102
37863,102
36005,102
34877,102
35899,102
34347,102
34907,102
34906,102
63991,103
66904,103
62801,103
58898,103
57968,103
56846,103
58808,103
62830,103
63800,103
60833,103
124659,104
111700,104
105717,104
109704,104
111700,104
111008,104
116686,104
114693,104
111674,104
104672,104
53820,105
54852,105
53856,105
54885,105
53856,105
53461,105
53761,105
52994,105
52825,105
55847,105
63795,106
63829,106
64010,106
64825,106
66820,106
69777,106
105716,106
80782,106
74801,106
73803,106
78788,107
73768,107
71775,107
72804,107
69785,107
71805,107
75796,107
75187,107
73774,107
73775,107
92752,108
95746,108
99728,108
91750,108
94743,108
89759,108
89728,108
86738,108
85769,108
83775,108
74765,109
73775,109
87737,109
78765,109
74799,109
76795,109
76796,109
75769,109
72778,109
79786,109
107710,110
104717,110
107680,110
109677,110
105689,110
106686,110
111674,110
115692,110
112695,110
112732,110
113695,111
116660,111
116689,111
113696,111
116690,111
114693,111
109447,111
104692,111
100702,111
114665,111
78787,112
84772,112
80783,112
86768,112
85768,112
88761,112
89729,112
92753,112
80783,112
92718,112
117684,113
109702,113
103688,113
121639,113
111699,113
111698,113
105716,113
105682,113
107677,113
109705,113
84742,114
88709,114
80982,114
80830,114
81749,114
82750,114
84081,114
85085,114
90759,114
89759,114
81753,115
78760,115
81781,115
83237,115
85737,115
80780,115
80785,115
80753,115
82744,115
81780,115
89724,116
85737,116
100831,116
92693,116
89759,116
87765,116
88727,116
94747,116
108707,116
106715,116
162563,117
168547,117
156541,117
138592,117
136632,117
152593,117
139593,117
123669,117
115689,117
119678,117
71247,118
71780,118
74766,118
79757,118
73804,118
78761,118
80747,118
76767,118
76763,118
88462,118
99733,119
96706,119
95744,119
92872,119
91451,119
97737,119
88761,119
89725,119
91929,119
89760,119
110543,120
106715,120
123641,120
114363,120
113695,120
108674,120
113697,120
116652,120
114692,120
107552,120
75791,121
76791,121
75518,121
81781,121
101691,121
89727,121
89727,121
88762,121
92754,121
91756,121
75798,122
75790,122
74799,122
75769,122
72777,122
74800,122
75768,122
75770,122
73803,122
71806,122
128656,123
115650,123
109705,123
115690,123
125661,123
120675,123
116689,123
107708,123
111665,123
120647,123
118682,124
115691,124
110703,124
133607,124
112697,124
112663,124
114693,124
114690,124
115689,124
116686,124
136633,125
141833,125
142616,125
145609,125
141622,125
139624,125
138625,125
138628,125
135638,125
133641,125
94745,126
104716,126
97736,126
99733,126
97738,126
111699,126
101728,126
102724,126
100730,126
96741,126
100729,127
100728,127
99732,127
102726,127
102724,127
104718,127
102722,127
95742,127
109705,127
103722,127
86769,128
88761,128
85769,128
82777,128
82777,128
81779,128
88760,128
83773,128
82775,128
83774,128
116685,129
111700,129
124665,129
119678,129
113694,129
110701,129
112697,129
112698,129
117684,129
107709,129
90755,130
91762,130
97740,130
98737,130
97738,130
131647,130
102727,130
105716,130
102724,130
110674,130
151567,131
145609,131
138627,131
130649,131
131649,131
132644,131
131646,131
135638,131
123667,131
122672,131
99732,132
99731,132
104718,132
98735,132
102724,132
98703,132
102726,132
98735,132
96741,132
114691,132
119680,133
114693,133
116659,133
115690,133
112694,133
114691,133
